state_code,county_code,code,name
"01","001","01001",Autauga County
"01","003","01003",Baldwin County
"01","005","01005",Barbour County
"01","007","01007",Bibb County
"01","009","01009",Blount County
"01","011","01011",Bullock County
"01","013","01013",Butler County
"01","015","01015",Calhoun County
"01","017","01017",Chambers County
"01","019","01019",Cherokee County
"01","021","01021",Chilton County
"01","023","01023",Choctaw County
"01","025","01025",Clarke County
"01","027","01027",Clay County
"01","029","01029",Cleburne County
"01","031","01031",Coffee County
"01","033","01033",Colbert County
"01","035","01035",Conecuh County
"01","037","01037",Coosa County
"01","039","01039",Covington County
"01","041","01041",Crenshaw County
"01","043","01043",Cullman County
"01","045","01045",Dale County
"01","047","01047",Dallas County
"01","049","01049",DeKalb County
"01","051","01051",Elmore County
"01","053","01053",Escambia County
"01","055","01055",Etowah County
"01","057","01057",Fayette County
"01","059","01059",Franklin County
"01","061","01061",Geneva County
"01","063","01063",Greene County
"01","065","01065",Hale County
"01","067","01067",Henry County
"01","069","01069",Houston County
"01","071","01071",Jackson County
"01","073","01073",Jefferson County
"01","075","01075",Lamar County
"01","077","01077",Lauderdale County
"01","079","01079",Lawrence County
"01","081","01081",Lee County
"01","083","01083",Limestone County
"01","085","01085",Lowndes County
"01","087","01087",Macon County
"01","089","01089",Madison County
"01","091","01091",Marengo County
"01","093","01093",Marion County
"01","095","01095",Marshall County
"01","097","01097",Mobile County
"01","099","01099",Monroe County
"01","101","01101",Montgomery County
"01","103","01103",Morgan County
"01","105","01105",Perry County
"01","107","01107",Pickens County
"01","109","01109",Pike County
"01","111","01111",Randolph County
"01","113","01113",Russell County
"01","115","01115",St. Clair County
"01","117","01117",Shelby County
"01","119","01119",Sumter County
"01","121","01121",Talladega County
"01","123","01123",Tallapoosa County
"01","125","01125",Tuscaloosa County
"01","127","01127",Walker County
"01","129","01129",Washington County
"01","131","01131",Wilcox County
"01","133","01133",Winston County
"02","013","02013",Aleutians East Borough
"02","016","02016",Aleutians West Census Area
"02","020","02020",Anchorage Municipality
"02","050","02050",Bethel Census Area
"02","060","02060",Bristol Bay Borough
"02","068","02068",Denali Borough
"02","070","02070",Dillingham Census Area
"02","090","02090",Fairbanks North Star Borough
"02","100","02100",Haines Borough
"02","105","02105",Hoonah-Angoon Census Area
"02","110","02110",Juneau City and Borough
"02","122","02122",Kenai Peninsula Borough
"02","130","02130",Ketchikan Gateway Borough
"02","150","02150",Kodiak Island Borough
"02","158","02158",Kusilvak Census Area
"02","164","02164",Lake and Peninsula Borough
"02","170","02170",Matanuska-Susitna Borough
"02","180","02180",Nome Census Area
"02","185","02185",North Slope Borough
"02","188","02188",Northwest Arctic Borough
"02","195","02195",Petersburg Borough
"02","198","02198",Prince of Wales-Hyder Census Area
"02","220","02220",Sitka City and Borough
"02","230","02230",Skagway Municipality
"02","240","02240",Southeast Fairbanks Census Area
"02","261","02261",Valdez-Cordova Census Area
"02","275","02275",Wrangell City and Borough
"02","282","02282",Yakutat City and Borough
"02","290","02290",Yukon-Koyukuk Census Area
"04","001","04001",Apache County
